House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Saturn,Mercury,Sun,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,
Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,Moon,Ketu,
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,,
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,Moon,Ketu,,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,,,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,
Sun Mercury,,Venus Mars Rahu,,Jupiter,,,Moon,Ketu,,Saturn,
Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,,Mercury
,Venus Mars Rahu,,Jupiter,,,Moon,Ketu,,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Moon Ketu,,,Saturn,,Sun Mercury,Rahu
,,Jupiter,,Moon,Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu
,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Rahu,Mars
Jupiter,,,Moon Ketu,,,Saturn,,Sun Mercury,Rahu,Venus Mars,
Jupiter,,Moon,Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,
,,Moon Ketu,,,Saturn,Mercury,Sun,Rahu,Venus Mars,,Jupiter
,Moon,Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter
,Moon Ketu,,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,
Moon Ketu,,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Moon Ketu,,Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,
,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Moon Ketu
,Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu
,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,Moon,Ketu
,Saturn,Mercury,Sun,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,
Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Moon Ketu,
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,,
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Moon Ketu,,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,,,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,
Sun Mercury,,Venus Mars Rahu,,Jupiter,,,,Moon Ketu,,Saturn,
Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,,Mercury
,Venus Mars Rahu,,Jupiter,,,,Moon Ketu,,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Moon Ketu,,,Saturn,,Sun Mercury,Rahu
,,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu
,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Rahu,Mars
Jupiter,,,Moon Ketu,,,Saturn,,Sun Mercury,Rahu,Venus Mars,
Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,
,,Moon Ketu,,,Saturn,Mercury,Sun,Rahu,Venus Mars,,Jupiter
,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter
,Moon Ketu,,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,
Moon Ketu,,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu
,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Moon Ketu
,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Moon Ketu,
Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Moon Ketu,
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Moon Ketu,,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,
Sun,Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,,Mercury
Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury,Rahu
,Jupiter,,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu
,Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Rahu,Mars
Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,
Jupiter,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,
,,Ketu,Moon,Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,
,Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,
Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
Moon,Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu
,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Moon Ketu
Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon
Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Moon Ketu,
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Moon Ketu,,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,Moon,Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,
Sun,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,Saturn,,Mercury
Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Ketu,Moon,Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury,Rahu
,Jupiter,,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu
,Jupiter,,,Ketu,Moon,Saturn,,Mercury,Sun,Venus Rahu,Mars
Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,
,,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter
,,Ketu,Moon,Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,,Moon Ketu,,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,
,Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,
Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
Moon,Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu
Moon,Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon
Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,Moon
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,Moon,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,Moon,Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,
Sun,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,Saturn,,Mercury
Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Ketu,Moon,Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury,Rahu
,Jupiter,,,Ketu,,Moon,Saturn,,Mercury,Sun Rahu,Venus Mars
,Jupiter,,,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,Moon,,Saturn,,Sun Mercury,Rahu,Venus Mars,
,,,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter
,,Ketu,Moon,Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,
,Ketu,Moon,Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,
Ketu,,Moon,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,Moon,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
Moon,Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu
Moon,Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon
Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Ketu,Moon
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,Moon,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,Moon,Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,
Sun,Rahu,Venus Mars,,Jupiter,,,Ketu,Moon,Saturn,,Mercury
Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Ketu,Moon,Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,,Sun Mercury,Rahu
,Jupiter,,,Ketu,,Moon,Saturn,,Mercury,Sun Rahu,Venus Mars
,Jupiter,,,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,,Moon,Saturn,,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,Moon,Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,Moon,Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Ketu,Moon,Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,
Ketu,,Moon,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,Moon,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Moon Saturn,,Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu
Moon,Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Ketu,Moon
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,,Moon Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,,Moon Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,
Sun,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon Saturn,,Mercury
Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,,Sun Mercury
Venus Rahu,Mars,,Jupiter,,,Ketu,,Moon Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Moon,Saturn,,Sun Mercury,Rahu
,Jupiter,,,Ketu,,Moon,Saturn,,Mercury,Sun Rahu,Venus Mars
,Jupiter,,,Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,
Ketu,,Moon,Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,,Moon Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Moon Saturn,,Mercury,Sun,Rahu,Venus Mars,,Jupiter,,,Ketu
,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,
Moon Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Ketu,
Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,,Moon Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,,Moon Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Moon Saturn,,
Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn,,Sun Mercury
Venus Mars Rahu,,,Jupiter,,,Ketu,,Moon Saturn,,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Moon Saturn,,,Sun Mercury,Rahu
,Jupiter,,,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars
,Jupiter,,,Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,,Jupiter,,
Ketu,,,Moon Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,,Moon Saturn,,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,,Moon Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Moon Saturn,,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,
Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,,
Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn
,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,,Moon Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,,Saturn,Moon
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn,Moon,
Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn,,Sun Mercury
Venus Mars Rahu,,,Jupiter,,,Ketu,,Saturn,Moon,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu
,Jupiter,,,Ketu,,,Moon Saturn,,Sun Mercury,Rahu,Venus Mars
,Jupiter,,,Ketu,,Saturn,Moon,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
,Ketu,,Saturn,Moon,Mercury,Sun,Venus Mars Rahu,,Jupiter,,
Ketu,,,Moon Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,,Saturn,Moon,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,,Moon Saturn,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Moon Saturn,,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,,
Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn
Moon,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,,Ketu,,Saturn
,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn
Mercury,Sun,Venus Rahu,Mars,,Jupiter,,,Ketu,,Saturn,Moon
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn,Moon,
Rahu,Venus Mars,,Jupiter,,,Ketu,,,Moon Saturn,,Sun Mercury
Venus Mars Rahu,,,Jupiter,,,Ketu,,Saturn,Moon,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu
,Jupiter,,,Ketu,,,Saturn,Moon,Sun Mercury,Rahu,Venus Mars
Jupiter,,,,Ketu,,Saturn,Moon,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,
Ketu,,,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,
Ketu,,,Saturn,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,,Saturn,Moon,Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,,Saturn,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,Moon,,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,,
,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn
Moon,Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Ketu,,Saturn
Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Saturn
,Sun Mercury,Venus Rahu,Mars,,Jupiter,,,Ketu,,Saturn,Moon
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Saturn,Moon
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn,Moon,
Rahu,Venus Mars,,Jupiter,,,Ketu,,,Saturn,Moon,Sun Mercury
Venus Mars Rahu,,Jupiter,,,,Ketu,,Saturn,Moon,Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Saturn,,Moon,Sun Mercury,Rahu
,Jupiter,,,Ketu,,,Saturn,Moon,Sun Mercury,Rahu,Venus Mars
Jupiter,,,,Ketu,,Saturn,Moon,Mercury,Sun,Venus Mars Rahu,
Jupiter,,,Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,
Ketu,,,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,
Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
Ketu,,Saturn,,Moon Mercury,Sun,Venus Mars Rahu,,,Jupiter,,
,,Saturn,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu
,Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,
Saturn,Moon,Mercury,Sun Rahu,Venus Mars,,Jupiter,,,Ketu,,
,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn
,Moon Mercury,Sun,Venus Mars Rahu,,Jupiter,,,,Ketu,,Saturn
Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Saturn
Moon,Sun Mercury,Venus Rahu,Mars,,Jupiter,,,Ketu,,Saturn,
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,,Saturn,Moon
Sun Mercury,Rahu,Venus Mars,,Jupiter,,,Ketu,,Saturn,,Moon
Rahu,Venus Mars,,Jupiter,,,Ketu,,,Saturn,Moon,Sun Mercury
Venus Mars Rahu,,Jupiter,,,,Ketu,,Saturn,,Moon Mercury,Sun
Venus Mars,,Jupiter,,,Ketu,,Saturn,,Moon,Sun Mercury,Rahu
,Jupiter,,,Ketu,,,Saturn,Moon,Sun Mercury,Rahu,Venus Mars
Jupiter,,,Ketu,,,Saturn,,Moon Mercury,Sun Rahu,Venus Mars,
Jupiter,,,Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,
,,Ketu,,,Saturn,,Moon Mercury,Sun Rahu,Venus Mars,,Jupiter
,,Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter
,Ketu,,,Saturn,,Moon Mercury,Sun Rahu,Venus Mars,,Jupiter,
,Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,
Ketu,,,Saturn,,Moon Mercury,Sun Rahu,Venus Mars,,Jupiter,,
Ketu,,Saturn,,Moon,Sun Mercury,Rahu,Venus Mars,,Jupiter,,
