House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Moon Saturn,Jupiter,,
Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Moon Saturn,Jupiter,,
Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,
Ketu,,Sun Venus,Mercury,,,Rahu,Moon Saturn,Jupiter,,,Mars
,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu
,Sun Venus,Mercury,,,Rahu,Moon Saturn,Jupiter,,,Mars,Ketu
Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,
Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,,Venus
Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Sun Venus
,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury
,,Rahu,Moon Saturn,Jupiter,,,Mars,Ketu,,Sun Venus,Mercury
,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Venus,Sun Mercury,
Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury,,
Rahu,Moon Saturn,Jupiter,,,Mars,Ketu,,Sun Venus,Mercury,,
,Moon Jupiter Saturn,,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu
Moon Saturn,Jupiter,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,
Moon Jupiter,,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn
Jupiter,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Moon Saturn
,,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn
,,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter
,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,
,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,
,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Moon Jupiter,,
Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Moon Saturn,Jupiter,,
Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,
Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars
,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu
,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu
Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,
Sun,Mercury,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus
Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Sun Venus
,,Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury
,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Sun Venus,Mercury
,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Venus,Sun Mercury,
Rahu,,Moon Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury,,
Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Sun Venus,Mercury,,
Saturn,Moon Jupiter,,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu
Saturn,Moon Jupiter,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,
Moon Jupiter,,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn
Moon Jupiter,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Saturn
,,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Moon Jupiter Saturn
,,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter
,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon
,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,
,Mars Ketu,,Venus,Sun,Mercury,,Rahu,,Jupiter Saturn,Moon,
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Moon Jupiter,,
Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Saturn,Moon Jupiter,,
Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon,,Mars
Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars
,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu
,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu
Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,
Sun,Mercury,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus
Mercury,,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Sun Venus
,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus,Sun Mercury
,,Rahu,Saturn,Moon Jupiter,,,Mars,Ketu,,Sun Venus,Mercury
,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,
Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus,Sun Mercury,,
,Saturn,Moon Jupiter,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu
Saturn,Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu
Jupiter Saturn,Moon,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,
Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn
Moon Jupiter,,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Saturn
Moon,,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn
,,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Moon Jupiter
,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon
,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,Moon
,Mars Ketu,,Venus,Sun,Mercury,,Rahu,,Jupiter Saturn,Moon,
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter,Moon,
Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Jupiter Saturn,Moon,,
Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars
,,Sun Venus,Mercury,,Rahu,,Saturn,Jupiter,Moon,,Mars Ketu
,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu
,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu
Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,
Sun,Mercury,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus
Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,,Sun Venus
,,Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus,Sun Mercury
,Rahu,,Saturn,Jupiter,Moon,,Mars Ketu,,,Sun Venus,Mercury
,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,
Rahu,,Jupiter Saturn,Moon,,,Mars Ketu,,Venus,Sun Mercury,,
,Saturn,Jupiter,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu
Saturn,Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu
Jupiter Saturn,,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,
Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn
Jupiter,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Saturn
Moon,,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn
Moon,,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter
Moon,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,
,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,Moon
,Mars Ketu,,Venus,Sun,Mercury,,Rahu,,Jupiter Saturn,,Moon
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter,Moon,
Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Jupiter Saturn,,Moon,
Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars
,,Sun Venus,Mercury,,Rahu,,Saturn,Jupiter,Moon,,Mars Ketu
,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu
,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu
Venus,Sun,Mercury,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,
Sun,Mercury,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,,Venus
Mercury,,,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,,Sun Venus
,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,,Venus,Sun Mercury
,Rahu,,Saturn,Jupiter,Moon,,Mars Ketu,,,Sun Venus,Mercury
,Rahu,Saturn,Jupiter,Moon,,Mars,Ketu,,Venus,Sun Mercury,
Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,,Venus,Sun Mercury,,
,Saturn,Jupiter,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu
Saturn,Jupiter,,Moon,Mars,Ketu,,Venus,Sun Mercury,,,Rahu
Jupiter Saturn,,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,
Jupiter,,Moon,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn
,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Jupiter Saturn
,Moon,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter
Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Saturn,Jupiter
Moon,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,
Moon,Mars,Ketu,,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,
,Mars Ketu,,Venus,Sun,Mercury,,Rahu,,Jupiter Saturn,,Moon
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter,,Moon
Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Jupiter Saturn,,Moon,
Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter,,Moon,Mars
,,Sun Venus,Mercury,,Rahu,,Saturn,Jupiter,Moon,,Mars Ketu
,Venus,Sun Mercury,,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu
,Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,,Moon,Mars,Ketu
Venus,Sun,Mercury,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Saturn,Jupiter,,Moon,Mars,Ketu,
Sun,Mercury,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,,Venus
Mercury,,,Rahu,Saturn,Jupiter,,Moon,Mars,Ketu,,Sun Venus
,,Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,,Venus,Sun Mercury
,Rahu,,Jupiter Saturn,,,Moon,Mars Ketu,,,Sun Venus,Mercury
,Rahu,Saturn,Jupiter,,Moon,Mars,Ketu,,Sun Venus,Mercury,
Rahu,,Jupiter Saturn,,Moon,,Mars Ketu,,Venus,Sun Mercury,,
,Jupiter Saturn,,,Moon,Mars Ketu,,,Sun Venus,Mercury,,Rahu
Saturn,Jupiter,,Moon,Mars,Ketu,,Venus,Sun Mercury,,,Rahu
Jupiter Saturn,,Moon,,Mars Ketu,,,Sun Venus,Mercury,,Rahu,
Jupiter,,Moon,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn
,,Moon,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Jupiter Saturn
,Moon,Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Saturn,Jupiter
,Moon,Mars Ketu,,,Sun Venus,Mercury,,Rahu,,Saturn,Jupiter
