House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars,,Mercury,Sun Venus
Ketu,Jupiter,Saturn,,,,Moon Rahu,Mars,,,Sun Mercury,Venus
Jupiter,Saturn,,,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu
Saturn,,,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter
Saturn,,,,Moon Rahu,Mars,,,Sun Mercury,Venus,Jupiter Ketu,
,,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Moon Rahu,,Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,
,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
,Moon Rahu,Mars,,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,
Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Moon Rahu,,Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
,Mars,,Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Moon Rahu
,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu
Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,Moon
Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,
,,Sun Mercury,Venus,Jupiter Ketu,,Saturn,,,,Moon Rahu,Mars
,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars
,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars
Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars,
Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury
Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus
Jupiter Ketu,,Saturn,,,,Moon Rahu,Mars,,,Sun Mercury,Venus
Jupiter,Saturn,,,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu
Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter
Saturn,,,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,
,,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Moon Rahu,,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,
,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
,Moon Rahu,Mars,,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,
Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Moon Rahu,,Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
Moon,Mars,,Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu
,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu
Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,Moon
Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon
,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,,Rahu,Moon,Mars
,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars
,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Moon Rahu,,Mars
Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,
Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury
Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus
Jupiter,,Saturn,,,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu
Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu
Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter
Saturn,,,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,
,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,Moon,Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
,Rahu,Moon Mars,,,Sun Mercury,Venus,Jupiter Ketu,,Saturn,,
Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Rahu,Moon,Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
Moon,Mars,,Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu
Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu
Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,Moon
Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon
,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,,Rahu,,Moon Mars
,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars
,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars
Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,
Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury
Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus
Jupiter,,Saturn,,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu
Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu
Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter
,,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn
,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,
Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Rahu,Moon,Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
,Moon Mars,,Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu
Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu
Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,
Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon
,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,,Rahu,,Moon Mars
,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars
,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars
Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,
Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Mercury
Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon,Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Mercury,Sun Venus
Jupiter,Saturn,,,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu
Jupiter,Saturn,,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu
Saturn,,,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter
,,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn
,,,Rahu,Moon,Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,
Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Rahu,Moon,Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
,Moon Mars,,Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu
,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu
Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,
Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,
,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars
,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars
,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,Moon Mars,
Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,
Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,
Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Mercury,Sun Venus
Jupiter,Saturn,,,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu
Jupiter,Saturn,,,,Rahu,,Moon Mars,,Sun Mercury,Venus,Ketu
Saturn,,,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter
,,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn
,,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,
Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Rahu,,Moon Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
,Moon Mars,,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu
,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu
Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,
Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,
Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars
,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars
,Sun Mercury,Venus,Jupiter Ketu,,Saturn,,,,Rahu,Mars,Moon
Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,
Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon,
Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Mercury,Sun Venus
Jupiter,Saturn,,,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu
Jupiter,Saturn,,,,Rahu,,Moon Mars,,Sun Mercury,Venus,Ketu
Saturn,,,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter
,,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn
,,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,
Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Rahu,,Moon Mars,,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu
,Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu
Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,
Moon Mars,,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,
Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars
Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Mars
,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,,Rahu,,Mars,Moon
Mercury,Sun,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,
Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon,
Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Moon Mars,,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon,Mercury,Sun Venus
Jupiter,Saturn,,,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu
Jupiter,Saturn,,,,Rahu,,Moon Mars,,Sun Mercury,Venus,Ketu
Saturn,,,,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter
,,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn
,,,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,
Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,
Rahu,,Mars,Moon,Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,
,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu
,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu
Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,
Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,
Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars
Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Mars
Moon,Sun Mercury,Venus Ketu,Jupiter,,Saturn,,,Rahu,,Mars,
,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon
Sun Mercury,Venus,Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon
Sun Mercury,Venus Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon,
Venus Ketu,Jupiter,,Saturn,,,Rahu,,,Mars,Moon,Sun Mercury
Ketu,Jupiter,Saturn,,,,Rahu,,Mars,Moon,Mercury,Sun Venus
Jupiter,Saturn,,,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu
,Saturn,,,Rahu,,,Mars,Moon,Sun Mercury,Venus Ketu,Jupiter
Saturn,,,,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter
,,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn
,,,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn
,,Rahu,,Mars,Moon,,Sun Mercury,Venus Ketu,Jupiter,Saturn,
,,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,
,Rahu,,Mars,,Moon,Sun Mercury,Venus Ketu,Jupiter,Saturn,,
,Rahu,,Mars,Moon,Mercury,Sun Venus,Ketu,Jupiter,Saturn,,
Rahu,,Mars,,Moon,Sun Mercury,Venus Ketu,Jupiter,Saturn,,,
