House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Mars,Saturn Rahu,,Sun Moon Mercury,Venus,,,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Moon Mercury,Venus,,,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury,Moon Venus,,,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,Moon,,,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,Moon,,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,Moon,,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,,Moon,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,,Moon,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,,Moon,Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,,,Moon Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,,,Moon Ketu,,Jupiter,,
Mars,Saturn Rahu,,Sun Mercury Venus,,,,Ketu,Moon,Jupiter,,
Mars Rahu,Saturn,,Sun Mercury Venus,,,Ketu,,Moon,Jupiter,,
Mars Rahu,Saturn,,Sun Mercury Venus,,,Ketu,,Moon,Jupiter,,
Mars Rahu,Saturn,,Sun Mercury Venus,,,Ketu,,,Moon Jupiter,,
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Moon Jupiter,,
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Moon Jupiter,,
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Jupiter,Moon,
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Jupiter,Moon,
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Jupiter,Moon,
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Jupiter,,Moon
Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Jupiter,,Moon
Moon Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,,Jupiter,,
Moon Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,Jupiter,,,
Moon Mars Rahu,Saturn,,Sun Venus,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Moon Saturn,Venus,Sun,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Moon Saturn,Venus,Sun,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Moon Venus,Sun,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Moon Venus,Sun,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Venus,Sun Moon,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Venus,Sun Moon,Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Venus,Sun,Moon Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Venus,Sun,Moon Mercury,,Ketu,,Jupiter,,,
Mars Rahu,Saturn,Venus,Sun,Mercury,Moon,Ketu,,Jupiter,,,
Mars Saturn Rahu,,Venus,Sun,Mercury,Moon,Ketu,,Jupiter,,,
Mars Saturn Rahu,,Venus,Sun,Mercury,Moon,Ketu,,Jupiter,,,
Saturn Rahu,,Venus,Sun,Mercury,,Moon Ketu,,Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Moon Ketu,,Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Ketu,Moon,Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Ketu,Moon,Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Ketu,Moon,Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Ketu,,Moon Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Ketu,,Moon Jupiter,,,Mars
Saturn Rahu,,Venus,Sun,Mercury,,Ketu,,Moon Jupiter,,,Mars
Saturn Rahu,,Venus,Sun Mercury,,,Ketu,,Jupiter,Moon,,Mars
Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,Moon,,Mars Rahu
Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,Moon,Mars Rahu
Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,Moon,Mars Rahu
Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,Moon,Mars Rahu
Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Moon Mars Rahu
Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Moon Mars Rahu
Moon Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Mars Rahu
Moon Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Mars Rahu
Moon Saturn,,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Mars Rahu
Saturn,Moon,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Mars Rahu
Saturn,Moon,Venus,Sun Mercury,,Ketu,,,Jupiter,,,Mars Rahu
Saturn,,Moon Venus,Sun Mercury,,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Moon Venus,Sun Mercury,,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Moon Mercury,,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Moon Mercury,,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Mercury,Moon,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Mercury,Moon,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Mercury,Moon,Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Mercury,,Moon Ketu,,Jupiter,,,,Mars Rahu
Saturn,,Venus,Sun Mercury,,Moon Ketu,,Jupiter,,,,Mars Rahu
